run_id,num_workers,ARI,NMI,Silhouette,rounds,time_taken,comm_volume
cent_1,0,0.438,0.587,0.139,19.000,0.267,0.000
cent_2,0,0.331,0.484,0.137,27.000,0.369,0.000
cent_3,0,0.311,0.471,0.139,17.000,0.242,0.000
cent_4,0,0.444,0.590,0.141,30.000,0.407,0.000
cent_5,0,0.330,0.504,0.278,15.000,0.216,0.000
fed_4_1,4,0.445,0.592,0.144,32.000,0.631,1.939
fed_4_2,4,0.309,0.474,0.134,18.000,0.564,1.102
fed_4_3,4,0.440,0.589,0.140,27.000,0.608,1.640
fed_4_4,4,0.332,0.485,0.137,26.000,0.606,1.580
fed_4_5,4,0.444,0.590,0.141,28.000,0.611,1.699
fed_8_1,8,0.519,0.643,0.151,29.000,0.577,3.378
fed_8_2,8,0.330,0.484,0.135,19.000,0.570,2.228
fed_8_3,8,0.296,0.484,0.103,27.000,0.573,3.148
fed_8_4,8,0.312,0.477,0.107,26.000,0.565,3.033
fed_8_5,8,0.439,0.588,0.139,33.000,0.586,3.838
fed_16_1,16,0.376,0.557,0.149,25.000,0.549,5.714
fed_16_2,16,0.438,0.587,0.139,19.000,0.534,4.362
fed_16_3,16,0.439,0.589,0.142,20.000,0.537,4.588
fed_16_4,16,0.370,0.518,0.135,39.000,0.618,8.869
fed_16_5,16,0.309,0.474,0.135,24.000,0.550,5.489
fed_21_1,21,0.377,0.557,0.149,24.000,0.552,7.168
fed_21_2,21,0.331,0.483,0.135,28.000,0.561,8.345
fed_21_3,21,0.310,0.474,0.139,17.000,0.531,5.107
fed_21_4,21,0.311,0.475,0.111,15.000,0.527,4.519
fed_21_5,21,0.296,0.484,0.103,28.000,0.558,8.345